scenario,median_12m,p10_12m,p90_12m,ruin_pct
Bear Case,13953.230991235654,10986.420167522629,17666.141094626186,0.0
Base Case,33959.59052753879,25673.119627677686,44618.86939149709,0.0
Live Stats,78032.41195662937,57449.1236993822,106026.20553608373,0.0
Bull Case,174916.04478777497,128044.8842584566,241053.57415392695,0.0
