date,direction,entry,sl,tp1,exit,outcome,actual_r,session,atr
2026-06-05 22:00:00,SHORT,4411.67,4429.17,4376.66,4376.66,WIN,2.0,Tokyo,17.51
2026-06-08 07:00:00,SHORT,4329.92,4330.53,4328.68,4330.53,LOSS,-1.0,London,0.62
2026-06-15 18:00:00,SHORT,4335.85,4355.53,4296.5,4355.53,LOSS,-1.0,NY,19.67
2026-06-18 04:00:00,SHORT,4283.07,4304.65,4239.91,4239.91,WIN,2.0,Tokyo,21.58
2026-06-22 10:00:00,LONG,4194.09,4185.67,4210.92,4210.92,WIN,2.0,Overlap,8.42
2026-06-26 19:00:00,LONG,4049.04,4031.95,4083.22,4083.22,WIN,2.0,Off,17.09
2026-06-29 07:00:00,LONG,4089.73,4088.76,4091.66,4088.76,LOSS,-1.0,London,0.97
2026-06-29 08:00:00,SHORT,4067.03,4070.61,4059.89,4059.89,WIN,2.0,London,3.57
2026-07-02 22:00:00,LONG,4117.96,4097.85,4158.18,4158.18,WIN,2.0,Tokyo,20.11
2026-07-03 10:00:00,LONG,4149.28,4128.1,4191.64,4191.64,WIN,2.0,Overlap,21.18
2026-07-06 07:00:00,LONG,4175.76,4175.32,4176.63,4175.32,LOSS,-1.0,London,0.44
2026-07-06 13:00:00,SHORT,4165.47,4174.58,4147.26,4147.26,WIN,2.0,Overlap,9.11
2026-07-08 04:00:00,LONG,4130.08,4114.67,4160.88,4114.67,LOSS,-1.0,Tokyo,15.4
2026-07-09 22:00:00,SHORT,4108.91,4124.26,4078.21,4124.26,LOSS,-1.0,Tokyo,15.35
