date,direction,entry,sl,tp1,exit_price,outcome,actual_r,session,bull_score,bear_score,adx,bars_held,cumulative_r,adx_bucket
2024-08-16 13:30:00+00:00,LONG,229.36000061035156,228.46324920654297,231.15350341796875,231.15350341796875,WIN,2.0,Overlap,7,2,51.65686673306045,4,2.0,40-60
2024-08-23 14:30:00+00:00,LONG,232.58999633789062,231.43964385986328,234.8907012939453,231.43964385986328,LOSS,-1.0,NY,6,1,33.602525119289105,2,1.0,30-40
2024-08-23 16:30:00+00:00,LONG,231.99000549316406,230.7730473109654,234.4239218575614,230.7730473109654,LOSS,-1.0,NY,6,1,32.74484599056957,20,0.0,30-40
2024-08-26 13:30:00+00:00,LONG,232.66000366210938,231.69268253871374,234.59464590890067,231.69268253871374,LOSS,-1.0,Overlap,7,2,35.22469238433795,7,-1.0,30-40
2024-08-27 18:30:00+00:00,LONG,233.27499389648438,232.6369356427874,234.55111040387834,232.6369356427874,LOSS,-1.0,NY,6,1,49.5701360007544,2,-2.0,40-60
2024-08-29 14:30:00+00:00,LONG,232.73989868164062,232.01248168945312,234.19473266601562,232.01248168945312,LOSS,-1.0,NY,6,1,33.87625578157055,6,-3.0,30-40
2024-09-10 15:30:00+00:00,LONG,232.2899932861328,231.62369319370814,233.62259347098214,231.62369319370814,LOSS,-1.0,NY,6,1,16.384922394107434,5,-4.0,<20
2024-09-12 13:30:00+00:00,LONG,235.05999755859375,234.25879669189453,236.6623992919922,236.6623992919922,WIN,2.0,Overlap,7,2,36.75890834435542,7,-2.0,30-40
2024-09-18 17:30:00+00:00,LONG,239.8000030517578,239.07738385881697,241.24524143763952,239.07738385881697,LOSS,-1.0,NY,6,1,28.805723660959,1,-3.0,20-30
2024-09-19 14:30:00+00:00,LONG,238.77999877929688,237.5409676688058,241.258061000279,241.258061000279,WIN,1.9999999999999771,NY,6,1,21.30711346540255,6,-1.0000000000000229,20-30
2024-09-24 15:30:00+00:00,LONG,244.60400390625,244.00769914899553,245.79661342075892,245.79661342075892,WIN,1.9999999999999523,NY,6,1,79.73395300163962,3,0.9999999999999294,60+
2024-10-01 15:30:00+00:00,LONG,246.2449951171875,245.23284476143974,248.26929582868303,245.23284476143974,LOSS,-1.0,NY,6,1,37.23844037272596,5,-7.061018436615996e-14,30-40
2024-10-02 19:30:00+00:00,LONG,245.63999938964844,244.70644160679407,247.50711495535714,244.70644160679407,LOSS,-1.0,Off,6,1,22.12653899593771,1,-1.0000000000000706,20-30
2024-10-04 14:30:00+00:00,LONG,245.5800018310547,244.85138266427177,247.03724016462053,244.85138266427177,LOSS,-1.0,NY,6,1,35.2028683655498,1,-2.0000000000000706,30-40
2024-10-15 14:30:00+00:00,LONG,246.0200958251953,245.48963165283203,247.08102416992188,247.08102416992188,WIN,2.0,NY,6,1,56.01587863209835,6,-7.061018436615996e-14,40-60
2024-10-16 13:30:00+00:00,LONG,247.4199981689453,246.75299290248327,248.75400870186942,246.75299290248327,LOSS,-1.0,Overlap,7,2,31.852746817813294,1,-1.0000000000000706,30-40
2024-10-17 13:30:00+00:00,LONG,248.4149932861328,247.66337694440568,249.91822596958704,249.91822596958704,WIN,1.9999999999999623,Overlap,7,2,38.582709979015874,7,0.9999999999998916,30-40
2024-10-22 14:30:00+00:00,LONG,253.24000549316406,252.48112269810267,254.75777108328683,252.48112269810267,LOSS,-1.0,NY,6,1,59.339723281059925,6,-1.0835776720341528e-13,40-60
2024-10-29 13:30:00+00:00,LONG,255.7100067138672,255.10269274030412,256.9246346609933,255.10269274030412,LOSS,-1.0,Overlap,7,2,31.37146028541172,1,-1.0000000000001084,30-40
2024-11-11 14:30:00+00:00,SHORT,241.92999267578125,243.11678532191686,239.55640738351005,239.55640738351005,WIN,1.999999999999976,NY,1,6,29.723140133889405,9,0.9999999999998677,20-30
2024-12-02 18:30:00+00:00,SHORT,243.60000610351562,244.32351902553015,242.1529802594866,244.32351902553015,LOSS,-1.0,NY,1,6,33.42055706117741,3,-1.3233858453531866e-13,30-40
2024-12-02 20:30:00+00:00,SHORT,243.4600067138672,244.17994907924108,242.02012198311942,244.17994907924108,LOSS,-1.0,Off,1,6,31.62064246965027,1,-1.0000000000001323,30-40
2024-12-04 14:30:00+00:00,LONG,245.0399932861328,244.34041486467635,246.43915012904577,244.34041486467635,LOSS,-1.0,NY,6,1,20.6875277525757,7,-2.0000000000001323,20-30
2024-12-05 15:30:00+00:00,SHORT,243.4149932861328,244.08459254673548,242.07579476492745,244.08459254673548,LOSS,-1.0,NY,1,6,36.36813486148714,13,-3.0000000000001323,30-40
2024-12-09 14:30:00+00:00,LONG,246.7100067138672,245.82100895472936,248.48800223214286,245.82100895472936,LOSS,-1.0,NY,6,1,38.34011531850474,3,-4.000000000000132,30-40
2024-12-17 15:30:00+00:00,SHORT,243.56610107421875,244.13917541503906,242.41995239257812,244.13917541503906,LOSS,-1.0,NY,1,6,69.1124353713252,2,-5.000000000000132,60+
2024-12-18 18:30:00+00:00,SHORT,241.83999633789062,242.48701804024833,240.54595293317522,240.54595293317522,WIN,2.0,NY,1,6,49.95874865031107,1,-3.0000000000001323,40-60
2024-12-24 14:30:00+00:00,SHORT,241.01260375976562,241.51738739013672,240.00303649902344,241.51738739013672,LOSS,-1.0,NY,1,6,29.0337276089516,2,-4.000000000000132,20-30
2024-12-27 19:30:00+00:00,SHORT,241.1903076171875,241.82780129568917,239.91532026018416,239.91532026018416,WIN,2.0,Off,1,6,23.27348356134446,3,-2.0000000000001323,20-30
2025-01-07 15:30:00+00:00,LONG,244.64999389648438,244.01862989153182,245.91272190638952,245.91272190638952,WIN,2.000000000000045,NY,6,1,46.56626081132919,6,-8.748557434046234e-14,40-60
2025-01-15 14:30:00+00:00,LONG,247.47999572753906,246.89366803850447,248.65265110560827,248.65265110560827,WIN,2.0000000000000484,NY,6,1,22.976900694964552,3,1.999999999999961,20-30
2025-01-21 15:30:00+00:00,LONG,252.8784942626953,252.1065183367048,254.42244611467635,254.42244611467635,WIN,2.0,NY,6,1,51.79955156252346,6,3.999999999999961,40-60
2025-01-24 14:30:00+00:00,LONG,257.0,256.3060793195452,258.3878413609096,256.3060793195452,LOSS,-1.0,NY,6,1,46.27502341708741,1,2.999999999999961,40-60
2025-01-30 14:30:00+00:00,LONG,257.4750061035156,256.69800567626953,259.0290069580078,259.0290069580078,WIN,2.0,NY,6,1,22.603835704109372,7,4.999999999999961,20-30
2025-02-03 14:30:00+00:00,LONG,260.30999755859375,259.32621329171315,262.2775660923549,262.2775660923549,WIN,1.9999999999999423,NY,6,1,62.63498778442896,7,6.999999999999903,60+
2025-02-04 14:30:00+00:00,LONG,262.39990234375,261.35197012765065,264.49576677594865,264.49576677594865,WIN,1.9999999999999458,NY,6,1,66.60926516507361,7,8.999999999999849,60+
2025-02-10 14:30:00+00:00,LONG,268.3500061035156,267.21947152274,270.611075265067,267.21947152274,LOSS,-1.0,NY,6,1,16.80002440915931,7,7.999999999999849,<20
2025-02-13 15:30:00+00:00,LONG,269.1600036621094,268.4224744524275,270.6350620814732,268.4224744524275,LOSS,-1.0,NY,6,1,33.44566774214841,6,6.999999999999849,30-40
2025-02-18 15:30:00+00:00,LONG,270.1700134277344,269.0703866141183,272.36926705496654,269.0703866141183,LOSS,-1.0,NY,6,1,18.77357494841135,34,5.999999999999849,<20
2025-02-20 15:30:00+00:00,LONG,271.4599914550781,270.7401123046875,272.8997497558594,270.7401123046875,LOSS,-1.0,NY,6,1,34.03506390580104,3,4.999999999999849,30-40
2025-02-24 17:30:00+00:00,LONG,271.8900146484375,271.19327654157365,273.2834908621652,271.19327654157365,LOSS,-1.0,NY,6,1,19.213270581654417,4,3.999999999999849,<20
2025-03-11 15:30:00+00:00,LONG,269.010009765625,268.0251225062779,270.9797842843192,270.9797842843192,WIN,2.0,NY,6,1,21.81690903219547,7,5.999999999999849,20-30
2025-03-27 13:30:00+00:00,LONG,281.2550048828125,280.54232134137834,282.6803719656808,282.6803719656808,WIN,2.0,Overlap,7,2,35.313954796001674,7,7.999999999999849,30-40
2025-04-21 13:30:00+00:00,LONG,315.9031982421875,313.97892107282365,319.7517525809152,313.97892107282365,LOSS,-1.0,Overlap,7,2,64.61994255046207,9,6.999999999999849,60+
2025-05-14 13:30:00+00:00,SHORT,293.5703125,294.9857090541295,290.73951939174106,294.9857090541295,LOSS,-1.0,Overlap,2,7,59.88477812030364,7,5.999999999999849,40-60
2025-05-23 14:30:00+00:00,LONG,309.4552001953125,307.89854213169644,312.56851632254467,307.89854213169644,LOSS,-1.0,NY,6,1,37.74044613618998,6,4.999999999999849,30-40
2025-05-29 15:30:00+00:00,LONG,306.42999267578125,305.52009146554127,308.24979509626115,305.52009146554127,LOSS,-1.0,NY,6,1,43.576706925686516,4,3.999999999999849,40-60
2025-06-02 13:30:00+00:00,LONG,310.8299865722656,309.3398110525949,313.81033761160717,309.3398110525949,LOSS,-1.0,Overlap,7,2,21.234661684628456,7,2.999999999999849,20-30
2025-06-04 16:30:00+00:00,LONG,311.0199890136719,310.05311802455356,312.95373099190846,310.05311802455356,LOSS,-1.0,NY,6,1,27.55968842762663,5,1.999999999999849,20-30
2025-06-11 17:30:00+00:00,LONG,308.2793884277344,307.2705535888672,310.29705810546875,310.29705810546875,WIN,2.0,NY,6,1,29.117917527497976,3,3.999999999999849,20-30
2025-06-23 18:30:00+00:00,LONG,311.44000244140625,310.5314200265067,313.25716727120533,310.5314200265067,LOSS,-1.0,NY,6,1,24.610869572327754,2,2.999999999999849,20-30
2025-06-24 13:30:00+00:00,SHORT,304.4469909667969,305.74128287179127,301.858407156808,305.74128287179127,LOSS,-1.0,Overlap,2,7,25.406187099293067,3,1.999999999999849,20-30
2025-06-27 13:30:00+00:00,SHORT,301.6499938964844,302.8087354387556,299.332510811942,302.8087354387556,LOSS,-1.0,Overlap,2,7,29.397174845416668,7,0.999999999999849,20-30
2025-07-07 14:30:00+00:00,SHORT,305.7149963378906,306.56646728515625,304.0120544433594,306.56646728515625,LOSS,-1.0,NY,1,6,61.40728413823338,2,-1.509903313490213e-13,60+
2025-07-08 13:30:00+00:00,SHORT,304.3999938964844,305.4971836635045,302.2056143624442,305.4971836635045,LOSS,-1.0,Overlap,2,7,37.770107784892446,12,-1.000000000000151,30-40
2025-07-16 14:30:00+00:00,LONG,309.7850036621094,308.73535810198103,311.88429478236606,308.73535810198103,LOSS,-1.0,NY,6,1,52.23813183956221,1,-2.000000000000151,40-60
2025-07-16 19:30:00+00:00,LONG,308.260009765625,306.93357631138394,310.91287667410717,306.93357631138394,LOSS,-1.0,Off,6,1,45.442995054263356,1,-3.000000000000151,40-60
2025-07-18 13:30:00+00:00,LONG,308.9100036621094,307.5951886858259,311.53963361467635,311.53963361467635,WIN,2.000000000000043,Overlap,7,2,16.61188166671261,7,-1.000000000000108,<20
2025-07-30 14:30:00+00:00,SHORT,303.2200012207031,304.022960117885,301.6140834263393,304.022960117885,LOSS,-1.0,NY,1,6,40.3659453553363,3,-2.000000000000108,40-60
2025-08-07 16:30:00+00:00,LONG,312.0,311.3125653948103,313.3748692103795,311.3125653948103,LOSS,-1.0,NY,6,1,31.59297202239181,8,-3.000000000000108,30-40
2025-08-08 15:30:00+00:00,LONG,312.9100036621094,312.0697130475725,314.590584891183,312.0697130475725,LOSS,-1.0,NY,6,1,27.790906481676025,2,-4.000000000000108,20-30
2025-08-14 14:30:00+00:00,SHORT,307.3999938964844,308.22883169991627,305.7423182896205,305.7423182896205,WIN,2.0000000000000684,NY,1,6,32.440356580947615,22,-2.00000000000004,30-40
2025-08-19 14:30:00+00:00,SHORT,306.0899963378906,306.62703595842635,305.0159170968192,306.62703595842635,LOSS,-1.0,NY,1,6,47.52187494516121,6,-3.00000000000004,40-60
2025-08-26 15:30:00+00:00,LONG,311.6195068359375,311.0604793003627,312.73756190708707,311.0604793003627,LOSS,-1.0,NY,6,1,45.955119580512026,5,-4.00000000000004,40-60
2025-08-27 16:30:00+00:00,LONG,312.7300109863281,312.0984322684152,313.99316842215404,313.99316842215404,WIN,2.00000000000009,NY,6,1,32.3663564993364,4,-1.9999999999999498,30-40
2025-09-05 15:30:00+00:00,LONG,331.3699951171875,330.15136282784596,333.8072596958705,333.8072596958705,WIN,1.9999999999999534,NY,6,1,40.27791090003798,5,3.552713678800501e-15,40-60
2025-09-12 15:30:00+00:00,LONG,335.6900939941406,334.81048801967074,337.44930594308033,337.44930594308033,WIN,1.9999999999999354,NY,6,1,19.620534504496685,6,1.999999999999939,<20
2025-09-12 18:30:00+00:00,LONG,335.6050109863281,334.79078892299106,337.2334551130022,337.2334551130022,WIN,1.9999999999999303,NY,6,1,16.345849873656427,2,3.9999999999998694,<20
2025-09-15 13:30:00+00:00,LONG,336.69000244140625,335.92935834612166,338.21129063197543,338.21129063197543,WIN,2.0,Overlap,7,2,16.881212086764986,2,5.999999999999869,<20
2025-09-19 18:30:00+00:00,LONG,339.07000732421875,338.15609087262834,340.89784022739957,340.89784022739957,WIN,2.0,NY,6,1,58.21304530613845,2,7.999999999999869,40-60
2025-09-26 13:30:00+00:00,LONG,347.69940185546875,346.3658447265625,350.36651611328125,350.36651611328125,WIN,2.0,Overlap,7,2,33.97366955050234,7,9.999999999999869,30-40
2025-10-03 14:30:00+00:00,LONG,357.80999755859375,356.1974792480469,361.0350341796875,361.0350341796875,WIN,2.0,NY,6,1,21.625849697008555,6,11.999999999999869,20-30
2025-10-13 13:30:00+00:00,LONG,376.82000732421875,373.8240051269531,382.81201171875,382.81201171875,WIN,2.0,Overlap,7,2,21.703598732476127,14,13.999999999999869,20-30
2025-10-20 14:30:00+00:00,LONG,399.8599853515625,396.0224870954241,407.5349818638393,396.0224870954241,LOSS,-1.0,NY,6,1,31.26500740672183,6,12.999999999999869,30-40
2025-11-20 16:30:00+00:00,SHORT,372.9800109863281,375.26795087541853,368.4041312081473,375.26795087541853,LOSS,-1.0,NY,1,6,22.71830475217849,2,11.999999999999869,20-30
2025-11-21 18:30:00+00:00,LONG,376.239990234375,374.4185115269252,379.88294764927457,374.4185115269252,LOSS,-1.0,NY,6,1,22.577263261571062,1,10.999999999999869,20-30
2025-11-24 15:30:00+00:00,LONG,376.4939880371094,374.74304635184154,379.9958714076451,379.9958714076451,WIN,2.0000000000000324,NY,6,1,16.27809981048462,5,12.9999999999999,<20
2025-11-26 14:30:00+00:00,LONG,382.3800048828125,380.87786865234375,385.38427734375,385.38427734375,WIN,2.0,NY,6,1,37.2122176388574,7,14.9999999999999,30-40
2025-11-28 14:30:00+00:00,LONG,386.04998779296875,384.6524919782366,388.844979422433,388.844979422433,WIN,1.9999999999999594,NY,6,1,41.495199721529616,3,16.99999999999986,40-60
2025-12-05 14:30:00+00:00,LONG,390.79998779296875,389.4285866873605,393.5427900041853,389.4285866873605,LOSS,-1.0,NY,6,1,19.809832782720658,1,15.999999999999861,<20
2025-12-10 19:30:00+00:00,LONG,389.25250244140625,387.7217821393694,392.3139430454799,392.3139430454799,WIN,1.999999999999963,Off,6,1,16.877640908784453,4,17.999999999999826,<20
2025-12-15 14:30:00+00:00,LONG,396.70001220703125,394.3122100830078,401.4756164550781,394.3122100830078,LOSS,-1.0,NY,6,1,51.31443840010877,2,16.999999999999826,40-60
2025-12-17 14:30:00+00:00,LONG,399.43499755859375,397.6802215576172,402.9445495605469,397.6802215576172,LOSS,-1.0,NY,6,1,24.736155219297192,1,15.999999999999826,20-30
2025-12-18 15:30:00+00:00,LONG,401.48651123046875,399.64278302873885,405.17396763392856,399.64278302873885,LOSS,-1.0,NY,6,1,28.139933488775558,1,14.999999999999826,20-30
2025-12-19 17:30:00+00:00,LONG,400.45001220703125,398.61356680733815,404.1229030064174,404.1229030064174,WIN,1.9999999999999691,NY,6,1,18.673024239582126,4,16.999999999999794,<20
2025-12-22 14:30:00+00:00,LONG,406.2799987792969,404.11663818359375,410.6067199707031,410.6067199707031,WIN,2.0,NY,6,1,16.996718251506554,9,18.999999999999794,<20
2025-12-31 16:30:00+00:00,SHORT,397.0,398.8938969203404,393.2122061593192,398.8938969203404,LOSS,-1.0,NY,1,6,41.67744105717991,5,17.999999999999794,40-60
2026-01-09 14:30:00+00:00,LONG,414.18011474609375,412.62479291643416,417.29075840541293,412.62479291643416,LOSS,-1.0,NY,6,1,24.410729553077008,3,16.999999999999794,20-30
2026-01-20 14:30:00+00:00,LONG,434.2699890136719,431.42806352887834,439.95383998325894,439.95383998325894,WIN,2.0,NY,6,1,36.260074782520206,7,18.999999999999794,30-40
2026-01-22 15:30:00+00:00,LONG,448.1650085449219,444.93455723353793,454.6259111676897,454.6259111676897,WIN,1.9999999999999825,NY,6,1,59.219042004287466,6,20.999999999999776,40-60
2026-01-27 20:30:00+00:00,LONG,475.92999267578125,472.06966291155135,483.65065220424106,483.65065220424106,WIN,2.0,Off,6,1,53.45502623574059,1,22.999999999999776,40-60
2026-02-04 14:30:00+00:00,LONG,455.65948486328125,448.1664079938616,470.6456386021205,448.1664079938616,LOSS,-1.0,NY,6,1,42.79530460958873,2,21.999999999999776,40-60
2026-02-06 16:30:00+00:00,LONG,455.3949890136719,450.01365443638394,466.1576581682478,466.1576581682478,WIN,2.0000000000000107,NY,6,1,27.00402647532055,6,23.999999999999787,20-30
2026-02-11 18:30:00+00:00,LONG,468.0249938964844,465.3393816266741,473.3962184361049,465.3393816266741,LOSS,-1.0,NY,6,1,24.246734886359828,3,22.999999999999787,20-30
2026-03-05 15:30:00+00:00,SHORT,465.1050109863281,469.0775124686105,457.1600080217634,469.0775124686105,LOSS,-1.0,NY,1,6,42.319762723789026,6,21.999999999999787,40-60
2026-03-06 18:30:00+00:00,LONG,474.6000061035156,471.43757193429127,480.9248744419643,471.43757193429127,LOSS,-1.0,NY,6,1,18.691279365214122,3,20.999999999999787,<20
2026-03-26 15:30:00+00:00,SHORT,403.7799987792969,408.5622885567801,394.21541922433033,408.5622885567801,LOSS,-1.0,NY,1,6,33.13242057927716,5,19.999999999999787,30-40
2026-04-06 19:30:00+00:00,SHORT,427.67999267578125,430.95784650530135,421.12428501674106,430.95784650530135,LOSS,-1.0,Off,1,6,28.585821963050115,6,18.999999999999787,20-30
2026-04-14 13:30:00+00:00,LONG,441.7799987792969,439.44314357212613,446.4537091936384,439.44314357212613,LOSS,-1.0,Overlap,7,2,27.426611011511504,14,17.999999999999787,20-30
2026-04-17 13:30:00+00:00,LONG,447.4649963378906,445.22434779575894,451.94629342215404,445.22434779575894,LOSS,-1.0,Overlap,7,2,34.28495037016519,7,16.999999999999787,30-40
2026-04-27 14:30:00+00:00,SHORT,429.82000732421875,432.01228768484935,425.4354466029576,425.4354466029576,WIN,1.999999999999974,NY,1,6,33.18612183409537,6,18.999999999999762,30-40
2026-05-04 13:30:00+00:00,SHORT,419.67999267578125,421.75330897739957,415.53336007254467,415.53336007254467,WIN,1.9999999999999727,Overlap,2,7,33.50722800902273,1,20.999999999999734,30-40
2026-05-19 14:30:00+00:00,SHORT,413.0,415.3994576590402,408.20108468191967,415.3994576590402,LOSS,-1.0,NY,1,6,65.40614718670938,7,19.999999999999734,60+
2026-05-22 17:30:00+00:00,SHORT,414.4599914550781,416.5196620396205,410.3406502859933,410.3406502859933,WIN,2.0,NY,1,6,18.085707106681618,10,21.999999999999734,<20
2026-05-26 15:30:00+00:00,SHORT,413.8349914550781,415.63900102887834,410.2269723074777,410.2269723074777,WIN,2.0,NY,1,6,22.360361311048614,5,23.999999999999734,20-30
2026-06-01 15:30:00+00:00,SHORT,410.19500732421875,412.6763807024275,405.23226056780135,412.6763807024275,LOSS,-1.0,NY,1,6,37.65619140220952,5,22.999999999999734,30-40
2026-06-05 13:30:00+00:00,SHORT,400.239990234375,402.5375409807478,395.6448887416295,395.6448887416295,WIN,1.9999999999999754,Overlap,2,7,20.62575961743781,14,24.99999999999971,20-30
2026-06-09 15:30:00+00:00,SHORT,391.25,393.4332515171596,386.8834969656808,386.8834969656808,WIN,2.0,NY,1,6,50.430479693953956,5,26.99999999999971,40-60
2026-06-17 19:30:00+00:00,SHORT,388.69000244140625,391.55175127301897,382.9665047781808,391.55175127301897,LOSS,-1.0,Off,1,6,42.71855170721306,1,25.99999999999971,40-60
2026-06-29 14:30:00+00:00,SHORT,369.2699890136719,371.3378252301897,365.13431658063615,371.3378252301897,LOSS,-1.0,NY,1,6,47.96407957920093,6,24.99999999999971,40-60
2026-07-08 13:30:00+00:00,SHORT,372.5,374.2774897984096,368.9450204031808,374.2774897984096,LOSS,-1.0,Overlap,2,7,41.619111124303636,5,23.99999999999971,40-60
